Cook_hour,AutoCook_freq,SelfCook_freq,Micro_freq,Oven_freq,Others_freq,Spring_freq,Summer_freq,Fall_freq,Winter_freq,bfB_freq,Breakfast_freq,Lunch_freq,Dinner_freq,afD_freq,Preheat_freq,Clean_freq,Cancle_freq,Restart_freq,MenuSpectrum,ModeSpectrum,Cook_menu,Micro_t,Oven_t,MenuFreq,S1,S2,recent_ct,time,Y
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,4,35.200892857142854,632.9230769230769,4,0,60,1440,18,915
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,13,35.189309576837424,632.9230769230769,1,0,30,0,17,1380
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,13,35.189309576837424,632.9230769230769,2,0,30,1440,17,1200
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,13,35.189309576837424,632.9230769230769,3,0,30,1440,17,1230
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,7,35.02127659574468,646.8571428571429,22,0,30,0,17,1740
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,35.02127659574468,646.8571428571429,28,0,1740,600,20,480
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,35.02127659574468,646.8571428571429,29,0,1740,200,20,480
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,34.84787018255578,646.8571428571429,30,0,60,480,20,480
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,34.84787018255578,646.8571428571429,31,0,60,600,20,420
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,13,34.888888888888886,646.8571428571429,4,0,30,0,14,1260
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,13,34.888888888888886,646.8571428571429,5,0,30,0,16,1260
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,13,34.888888888888886,646.8571428571429,6,0,30,0,16,1380
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,4,34.888888888888886,646.8571428571429,5,0,30,480,16,900
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,34.75728155339806,650.4225352112676,32,0,30,720,18,480
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,34.73887814313346,650.4225352112676,33,0,60,720,13,480
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,34.729729729729726,650.4225352112676,34,1,480,930,15,480
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,34.729729729729726,650.4225352112676,35,1,510,480,6,450
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,34.729729729729726,650.4225352112676,36,1,450,480,7,450
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,34.684512428298284,649.7222222222222,37,0,420,0,20,420
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,34.684512428298284,649.7222222222222,38,0,420,0,20,420
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,34.675572519083964,649.7222222222222,39,0,30,0,22,480
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,34.666666666666664,649.7222222222222,40,0,30,0,18,420
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,34.64895635673624,649.7222222222222,41,0,30,0,9,480
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,34.61393596986817,642.7027027027027,42,0,630,420,20,420
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,34.58801498127341,642.7027027027027,43,0,30,1590,8,420
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,7,34.54545454545455,665.2631578947369,23,0,60,1440,17,1440
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,34.54545454545455,665.2631578947369,44,0,1620,480,9,480
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,34.53703703703704,665.2631578947369,45,0,30,480,16,420
36.57,3,3138,3076,12,53,2205,489,447,968,1381,981,779,1229,134,2,3,360,159,6,10,3,54.8578811369509,0.0,1,0,90,1440,8,780
36.57,3,3138,3076,12,53,2205,489,447,968,1381,981,779,1229,134,2,3,360,159,6,10,18,38.53183520599251,718.0,1,0,30,0,20,718
36.57,3,3138,3076,12,53,2205,489,447,968,1381,981,779,1229,134,2,3,360,159,6,10,3,37.775757575757574,718.0,2,0,60,0,9,780
121.95,33,1733,1392,302,72,1220,300,246,636,751,359,656,664,87,2,20,140,120,17,15,7,0.0,0.0,1,0,30,0,19,2040
121.95,33,1733,1392,302,72,1220,300,246,636,751,359,656,664,87,2,20,140,120,17,15,7,0.0,0.0,2,0,14400,0,17,2040
121.95,33,1733,1392,302,72,1220,300,246,636,751,359,656,664,87,2,20,140,120,17,15,7,30.0,0.0,3,0,14400,1380,19,2040
121.95,33,1733,1392,302,72,1220,300,246,636,751,359,656,664,87,2,20,140,120,17,15,7,30.0,0.0,4,0,14400,900,20,2040
